0.22940	0.22926	0.22883	0.22813	0.22714	0.22588	0.22435	0.22255	0.22049	0.21818	0.21561	0.21282	0.20979	0.20654	0.20309	0.19944	0.19561	0.19161	0.18745	0.18315	0.17873	0.17419	0.16957	0.16486	0.16010	0.15530	0.15048	0.14566	0.14085	0.13608	0.13136	0.12672	0.12218	0.11774	0.11344	0.10929	0.10532	0.10152	0.09794	0.09457	0.09144	0.08856	0.08594	0.08361	0.08156	0.07981	0.07836	0.07723	0.07642	0.07593	0.07577	0.07593	0.07642	0.07723	0.07836	0.07981	0.08156	0.08361	0.08594	0.08856	0.09144	0.09457	0.09794	0.10152	0.10532	0.10929	0.11344	0.11774	0.12218	0.12672	0.13136	0.13608	0.14085	0.14566	0.15048	0.15530	0.16010	0.16486	0.16957	0.17419	0.17873	0.18315	0.18745	0.19161	0.19561	0.19944	0.20309	0.20654	0.20979	0.21282	0.21561	0.21818	0.22049	0.22255	0.22435	0.22588	0.22714	0.22813	0.22883	0.22926	0.22940	
0.25015	0.25000	0.24954	0.24877	0.24771	0.24634	0.24468	0.24273	0.24050	0.23799	0.23522	0.23218	0.22890	0.22538	0.22164	0.21768	0.21352	0.20918	0.20467	0.20000	0.19520	0.19028	0.18525	0.18015	0.17498	0.16976	0.16452	0.15928	0.15405	0.14886	0.14373	0.13869	0.13374	0.12892	0.12424	0.11972	0.11539	0.11126	0.10735	0.10368	0.10027	0.09714	0.09429	0.09174	0.08951	0.08760	0.08603	0.08479	0.08391	0.08338	0.08320	0.08338	0.08391	0.08479	0.08603	0.08760	0.08951	0.09174	0.09429	0.09714	0.10027	0.10368	0.10735	0.11126	0.11539	0.11972	0.12424	0.12892	0.13374	0.13869	0.14373	0.14886	0.15405	0.15928	0.16452	0.16976	0.17498	0.18015	0.18525	0.19028	0.19520	0.20000	0.20467	0.20918	0.21352	0.21768	0.22164	0.22538	0.22890	0.23218	0.23522	0.23799	0.24050	0.24273	0.24468	0.24634	0.24771	0.24877	0.24954	0.25000	0.25015	
0.27034	0.27017	0.26968	0.26886	0.26772	0.26625	0.26447	0.26238	0.25998	0.25729	0.25431	0.25105	0.24753	0.24375	0.23972	0.23547	0.23101	0.22634	0.22149	0.21647	0.21131	0.20601	0.20061	0.19511	0.18955	0.18393	0.17829	0.17265	0.16702	0.16143	0.15590	0.15046	0.14513	0.13993	0.13488	0.13001	0.12533	0.12088	0.11666	0.11271	0.10903	0.10564	0.10256	0.09981	0.09740	0.09534	0.09364	0.09231	0.09136	0.09078	0.09059	0.09078	0.09136	0.09231	0.09364	0.09534	0.09740	0.09981	0.10256	0.10564	0.10903	0.11271	0.11666	0.12088	0.12533	0.13001	0.13488	0.13993	0.14513	0.15046	0.15590	0.16143	0.16702	0.17265	0.17829	0.18393	0.18955	0.19511	0.20061	0.20601	0.21131	0.21647	0.22149	0.22634	0.23101	0.23547	0.23972	0.24375	0.24753	0.25105	0.25431	0.25729	0.25998	0.26238	0.26447	0.26625	0.26772	0.26886	0.26968	0.27017	0.27034	
0.28994	0.28976	0.28924	0.28836	0.28715	0.28559	0.28369	0.28146	0.27891	0.27604	0.27287	0.26940	0.26564	0.26162	0.25733	0.25280	0.24804	0.24306	0.23789	0.23254	0.22703	0.22138	0.21561	0.20974	0.20380	0.19780	0.19178	0.18575	0.17973	0.17376	0.16785	0.16203	0.15633	0.15076	0.14536	0.14015	0.13515	0.13038	0.12587	0.12163	0.11769	0.11406	0.11077	0.10782	0.10524	0.10303	0.10121	0.09978	0.09876	0.09814	0.09793	0.09814	0.09876	0.09978	0.10121	0.10303	0.10524	0.10782	0.11077	0.11406	0.11769	0.12163	0.12587	0.13038	0.13515	0.14015	0.14536	0.15076	0.15633	0.16203	0.16785	0.17376	0.17973	0.18575	0.19178	0.19780	0.20380	0.20974	0.21561	0.22138	0.22703	0.23254	0.23789	0.24306	0.24804	0.25280	0.25733	0.26162	0.26564	0.26940	0.27287	0.27604	0.27891	0.28146	0.28369	0.28559	0.28715	0.28836	0.28924	0.28976	0.28994	
0.30892	0.30874	0.30818	0.30726	0.30597	0.30432	0.30232	0.29996	0.29726	0.29423	0.29087	0.28720	0.28323	0.27897	0.27443	0.26963	0.26459	0.25932	0.25385	0.24818	0.24234	0.23635	0.23024	0.22402	0.21772	0.21136	0.20497	0.19857	0.19218	0.18584	0.17956	0.17339	0.16733	0.16142	0.15568	0.15014	0.14482	0.13975	0.13495	0.13045	0.12625	0.12240	0.11889	0.11576	0.11301	0.11066	0.10872	0.10720	0.10611	0.10545	0.10524	0.10545	0.10611	0.10720	0.10872	0.11066	0.11301	0.11576	0.11889	0.12240	0.12625	0.13045	0.13495	0.13975	0.14482	0.15014	0.15568	0.16142	0.16733	0.17339	0.17956	0.18584	0.19218	0.19857	0.20497	0.21136	0.21772	0.22402	0.23024	0.23635	0.24234	0.24818	0.25385	0.25932	0.26459	0.26963	0.27443	0.27897	0.28323	0.28720	0.29087	0.29423	0.29726	0.29996	0.30232	0.30432	0.30597	0.30726	0.30818	0.30874	0.30892	
0.32728	0.32708	0.32650	0.32553	0.32418	0.32244	0.32034	0.31786	0.31502	0.31184	0.30831	0.30445	0.30027	0.29579	0.29101	0.28597	0.28066	0.27512	0.26935	0.26338	0.25724	0.25093	0.24449	0.23793	0.23129	0.22459	0.21784	0.21109	0.20436	0.19766	0.19104	0.18452	0.17812	0.17188	0.16582	0.15997	0.15435	0.14899	0.14392	0.13915	0.13472	0.13064	0.12693	0.12362	0.12071	0.11822	0.11617	0.11457	0.11341	0.11272	0.11249	0.11272	0.11341	0.11457	0.11617	0.11822	0.12071	0.12362	0.12693	0.13064	0.13472	0.13915	0.14392	0.14899	0.15435	0.15997	0.16582	0.17188	0.17812	0.18452	0.19104	0.19766	0.20436	0.21109	0.21784	0.22459	0.23129	0.23793	0.24449	0.25093	0.25724	0.26338	0.26935	0.27512	0.28066	0.28597	0.29101	0.29579	0.30027	0.30445	0.30831	0.31184	0.31502	0.31786	0.32034	0.32244	0.32418	0.32553	0.32650	0.32708	0.32728	
0.34499	0.34479	0.34418	0.34317	0.34175	0.33994	0.33774	0.33515	0.33218	0.32885	0.32516	0.32112	0.31675	0.31206	0.30707	0.30178	0.29623	0.29043	0.28439	0.27814	0.27170	0.26509	0.25834	0.25147	0.24450	0.23747	0.23040	0.22332	0.21625	0.20922	0.20227	0.19542	0.18870	0.18215	0.17578	0.16963	0.16372	0.15809	0.15275	0.14774	0.14308	0.13879	0.13489	0.13140	0.12834	0.12573	0.12357	0.12188	0.12066	0.11993	0.11969	0.11993	0.12066	0.12188	0.12357	0.12573	0.12834	0.13140	0.13489	0.13879	0.14308	0.14774	0.15275	0.15809	0.16372	0.16963	0.17578	0.18215	0.18870	0.19542	0.20227	0.20922	0.21625	0.22332	0.23040	0.23747	0.24450	0.25147	0.25834	0.26509	0.27170	0.27814	0.28439	0.29043	0.29623	0.30178	0.30707	0.31206	0.31675	0.32112	0.32516	0.32885	0.33218	0.33515	0.33774	0.33994	0.34175	0.34317	0.34418	0.34479	0.34499	
0.36207	0.36185	0.36122	0.36017	0.35869	0.35681	0.35451	0.35182	0.34873	0.34526	0.34142	0.33722	0.33267	0.32778	0.32258	0.31708	0.31129	0.30524	0.29895	0.29243	0.28572	0.27883	0.27179	0.26462	0.25735	0.25001	0.24263	0.23523	0.22785	0.22051	0.21325	0.20609	0.19906	0.19221	0.18555	0.17911	0.17293	0.16704	0.16146	0.15621	0.15133	0.14684	0.14276	0.13910	0.13590	0.13316	0.13090	0.12913	0.12786	0.12709	0.12683	0.12709	0.12786	0.12913	0.13090	0.13316	0.13590	0.13910	0.14276	0.14684	0.15133	0.15621	0.16146	0.16704	0.17293	0.17911	0.18555	0.19221	0.19906	0.20609	0.21325	0.22051	0.22785	0.23523	0.24263	0.25001	0.25735	0.26462	0.27179	0.27883	0.28572	0.29243	0.29895	0.30524	0.31129	0.31708	0.32258	0.32778	0.33267	0.33722	0.34142	0.34526	0.34873	0.35182	0.35451	0.35681	0.35869	0.36017	0.36122	0.36185	0.36207	
0.37849	0.37827	0.37761	0.37652	0.37499	0.37304	0.37066	0.36787	0.36467	0.36107	0.35709	0.35273	0.34801	0.34295	0.33755	0.33184	0.32584	0.31956	0.31303	0.30627	0.29929	0.29214	0.28482	0.27737	0.26982	0.26220	0.25452	0.24683	0.23915	0.23152	0.22396	0.21651	0.20920	0.20206	0.19512	0.18842	0.18198	0.17584	0.17003	0.16456	0.15947	0.15479	0.15053	0.14672	0.14338	0.14052	0.13816	0.13632	0.13499	0.13419	0.13393	0.13419	0.13499	0.13632	0.13816	0.14052	0.14338	0.14672	0.15053	0.15479	0.15947	0.16456	0.17003	0.17584	0.18198	0.18842	0.19512	0.20206	0.20920	0.21651	0.22396	0.23152	0.23915	0.24683	0.25452	0.26220	0.26982	0.27737	0.28482	0.29214	0.29929	0.30627	0.31303	0.31956	0.32584	0.33184	0.33755	0.34295	0.34801	0.35273	0.35709	0.36107	0.36467	0.36787	0.37066	0.37304	0.37499	0.37652	0.37761	0.37827	0.37849	
0.39427	0.39404	0.39336	0.39223	0.39066	0.38864	0.38618	0.38330	0.38000	0.37628	0.37216	0.36766	0.36279	0.35755	0.35198	0.34608	0.33987	0.33338	0.32662	0.31963	0.31242	0.30501	0.29744	0.28974	0.28192	0.27402	0.26607	0.25810	0.25015	0.24224	0.23440	0.22668	0.21910	0.21169	0.20450	0.19755	0.19087	0.18449	0.17845	0.17278	0.16750	0.16263	0.15821	0.15425	0.15078	0.14781	0.14536	0.14344	0.14207	0.14124	0.14096	0.14124	0.14207	0.14344	0.14536	0.14781	0.15078	0.15425	0.15821	0.16263	0.16750	0.17278	0.17845	0.18449	0.19087	0.19755	0.20450	0.21169	0.21910	0.22668	0.23440	0.24224	0.25015	0.25810	0.26607	0.27402	0.28192	0.28974	0.29744	0.30501	0.31242	0.31963	0.32662	0.33338	0.33987	0.34608	0.35198	0.35755	0.36279	0.36766	0.37216	0.37628	0.38000	0.38330	0.38618	0.38864	0.39066	0.39223	0.39336	0.39404	0.39427	
